period radius
11.9547 2.5363
24.4360 3.0600
15.2290 3.0354
24.6746 2.3579
15.3353 4.7125
269.2819 22.6374
31.3305 6.1350
6.5463 2.0663
1.1161 0.9908
5.4483 2.1557
16.0807 6.9217
7.3422 1.5962
7.9903 1.5488
1.2691 1.5881
2.8531 1.5325
17.8552 14.7325
18.4923 3.0066
12.4971 1.6129
9.5907 1.9350
13.6279 2.8156
313.0512 2.6140
2.5627 0.4473
2.1549 1.4508
5.8599 2.6078
8.1312 1.6059
213.2643 3.0290
11.7201 1.3618
12.1097 3.2044
20.4968 3.1833
4.7580 1.8339
8.1934 1.8767
4.1904 6.5217
109.6469 3.3464
11.6157 1.9608
133.6347 1.6721
1.0937 1.2331
58.7701 1.9599
6.9920 1.0643
13.0625 1.4796
125.4129 2.6764
9.3042 1.9343
10.2221 1.8596
8.5948 1.8933
0.6263 1.6341
2.9354 2.9285
57.2936 1.7958
17.0290 2.3178
43.1311 2.1762
67.8323 2.1810
6.8462 1.5220
13.0601 0.8581
6.7381 0.7741
8.3087 2.2554
8.6175 0.9136
151.8854 2.6490
25.6721 2.8764
60.9282 2.7566
1.4009 3.3004
0.7086 1.2962
15.3588 11.8065
2.4184 2.4367
38.6465 2.2441
9.1786 2.8011
95.6117 2.1811
0.7892 0.9050
37.3039 3.4295
8.9530 0.8430
16.2825 1.9039
4.0694 1.5501
3.7099 4.6242
26.8377 15.9627
171.0279 2.6013
16.9347 1.2531
24.2101 1.4350
5.4767 1.9155
10.1747 1.0799
3.7503 0.9042
5.5182 0.4825
8.5120 2.2494
9.1150 1.6023
3.8569 0.9556
24.3397 3.3212
76.5375 2.4352
31.4202 1.3123
7.3407 13.2096
70.4683 4.1805
1.6037 1.3601
8.2775 1.0652
11.3297 1.3281
3.1627 2.5292
5.3706 2.4616
22.1335 2.1722
4.6036 1.5096
550.8612 1.9448
24.3079 2.1996
8.5074 1.1203
101.1100 1.8975
14.7640 1.6332
23.2058 2.2827
0.8818 1.3173
10.5071 1.2073
6.7969 2.2983
2.8585 1.2345
20.1720 5.9144
7.5184 1.3468
7.2028 3.7562
96.3841 2.1305
2.1646 1.5643
2.2850 1.1134
10.6134 1.8575
3.8815 0.5973
5.1778 0.6355
3.9325 1.4302
1.0784 1.4891
35.8755 3.4538
3.7706 2.3002
2.5374 0.9587
7.7684 1.3871
2.5240 1.4165
1.9751 1.6102
14.0883 2.8608
2.6934 1.1057
44.2021 1.1859
0.9351 1.0457
5.5251 0.8303
16.6659 2.7703
7.9306 2.9611
4.8972 1.3690
10.3553 2.3038
5.3018 1.5997
9.3287 2.1195
6.3259 1.2285
3.6001 0.5933
4.5459 0.7709
6.1894 0.7758
7.7435 0.7383
9.7405 1.1342
10.6279 2.3000
166.7884 8.7537
5.5331 1.1006
10.5263 9.9004
35.5971 4.3685
0.6756 1.4039
1.0026 0.9579
3.1780 0.6882
3.2517 11.9719
7.5173 1.2025
80.2323 2.9997
20.2642 2.4629
7.4414 1.5371
17.5770 23.7724
14.4009 2.2386
25.6619 1.4727
198.0894 2.7127
5.0440 1.5791
3.7642 1.7546
541.9193 3.4142
4.8100 1.5016
0.9749 1.1679
2.1008 1.9976
30.8609 1.5893
21.1877 1.1834
31.8245 1.2069
26.0838 2.2596
11.4635 3.0543
